Team,Goals,yellow_cards,cartao_vermelho,Possession%,Pass%,disputa_aerea,Rating,color
Flamengo,88,88,3,57.6,86.4,15.4,6.74,#c22a1e
Atletico MG,84,62,3,58.0,86.1,13.5,6.70,#000000
Internacional,81,89,9,49.5,80.8,17.2,6.64,#c20c18
Gremio,73,69,8,51.8,85.2,15.2,6.64,#0d80bf
Red Bull Bragantino,50,74,4,49.4,81.2,14.1,6.63,#DB0A40
Sao Paulo,99,90,2,55.6,86.0,15,6.62,#fe0000
Fluminense,74,83,4,49.5,82.5,15.4,6.62,#870a28
Palmeiras,81,89,5,51.9,83.5,14.4,6.61,#006437
Corinthians,95,81,8,49.6,81.1,18,6.67,#ed1c2e
Ceara,68,85,6,44.9,79.2,16.7,6.60,#000000
Athletico Paranaense,68,79,3,52.9,84.8,13.3,6.57,#b0000b
Goias,71,108,4,44.7,77.4,18.8,6.55,#005e4f
Santos FC,72,80,5,50.8,81.6,12.4,6.55,#000000
Bahia,78,82,6,47.5,82.0,15.4,6.55,#006cb5
Fortaleza,64,77,8,49.8,83.5,17.2,6.56,#0d5aa5
Atletico GO,60,79,5,47.9,79.6,15.3,6.55,#CB3524
Vasco da Gama,67,83,6,48.0,82.2,13,6.53,#000000
Botafogo RJ,62,67,6,46.7,82.8,14.4,6.51,#000000
Coritiba,51,79,8,47.5,82.0,14.4,6.50,#00A651
Sport Recife,51,90,4,46.3,79.2,15.2,6.50,#ee0000
